品种：苹果AP     日期：2021-04-06,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
16,美尔雅,"4,053","-1,371",浙商期货,"2,956",91
17,华安期货,"3,955",191,国信期货,"2,809",-160
18,大地期货,"3,904",666,平安期货,"2,784",196
19,弘业期货,"3,539",593,东海期货,"2,708",762
20,徽商期货,"2,936",316,华安期货,"2,700",188
合计,,"131,201","9,613",,"123,592","4,601"
品种：白糖SR     日期：2021-04-06,,,,,,
名次,会员简称,持买仓量,增减量,会员简称,持卖仓量,增减量
1,中粮期货,"53,668","-3,354",中粮期货,"162,570","4,452"
2,华泰期货,"37,248",-751,中信期货,"38,476","-2,297"
3,国泰君安,"23,253","2,685",华泰期货,"29,689","-1,687"
4,光大期货,"21,811",988,永安期货,"20,851",-541
5,东证期货,"20,115","2,307",首创期货,"20,089","2,610"
6,五矿经易期货,"20,098",-76,宏源期货,"19,104",-433
7,金元期货,"18,542",147,东证期货,"17,975","2,323"
8,中信期货,"17,662",17,东兴期货,"16,353",353
9,永安期货,"16,478",229,中投天琪,"14,989","-1,427"
10,宏源期货,"15,856",-629,天风期货,"14,851",602
11,华融融达期货,"15,752","-1,184",国泰君安,"14,447","-1,822"
12,广发期货,"15,555",197,国投安信期货,"13,640",-873
13,银河期货,"11,000",473,浙商期货,"13,548",-153
14,首创期货,"10,950",539,银河期货,"11,463",256
15,海通期货,"10,038",676,海通期货,"9,445","-3,572"
16,中大期货,"9,874",-114,西部期货,"8,916",55
17,方正中期,"9,704","-1,249",华金期货,"8,230",-986
18,中信建投,"9,304","-1,406",光大期货,"8,068","1,134"
19,中州期货,"9,070","-1,593",广发期货,"7,659",-651
20,浙商期货,"8,784",-741,申银万国,"7,326",-500
合计,,"354,762","-2,839",,"457,689","-3,157"
品种：PTA     日期：2021-04-06,,,,,,
名次,会员简称,持买仓量,增减量,会员简称,持卖仓量,增减量
1,南华期货,"134,497","-3,423",国贸期货,"240,500","11,205"
2,国泰君安,"131,288",885,中信期货,"198,014","-4,152"
3,东证期货,"125,539","-6,538",建信期货,"178,545","-10,321"
4,永安期货,"119,995",970,永安期货,"144,737",506
5,东吴期货,"85,228","-3,101",东证期货,"140,442",405
6,中信期货,"83,409","4,649",银河期货,"136,815","2,891"
7,信达期货,"76,376","-4,551",五矿经易期货,"116,070",137
8,中粮期货,"75,648","1,776",中银国际,"107,438","-9,157"
9,银河期货,"70,336",-284,国泰君安,"84,995",650
10,方正中期,"68,563","3,788",光大期货,"75,396",-337
11,华泰期货,"65,979","1,977",新湖期货,"69,992",728
12,申银万国,"64,863","-1,559",瑞达期货,"66,739","4,194"
13,五矿经易期货,"63,894","1,157",东吴期货,"60,294","-1,382"
14,光大期货,"63,699","4,163",通惠期货,"56,424",299
15,海通期货,"58,218","9,080",东海期货,"48,057","2,236"
16,建信期货,"55,511","-12,139",海通期货,"40,907",88
17,瑞达期货,"54,799","2,731",国投安信期货,"40,238",-185
18,中辉期货,"50,789",-233,首创期货,"40,114",-66
